"Time","Potential"
2066.85,95.0
2068.45,94.4
2070.05,94.4
2071.65,93.8
2073.25,93.8
2074.85,94.4
2076.45,95.0
2078.05,93.2
2079.65,94.4
2081.25,93.2
2082.85,93.2
2084.45,94.4
2086.05,94.4
2087.65,93.8
2089.25,93.8
2090.85,93.2
2092.45,93.2
2094.05,93.8
2095.65,93.8
2097.25,94.4
2098.85,94.4
2100.45,93.8
2102.05,94.4
2103.65,95.6
2105.25,95.0
2106.85,95.0
2108.45,95.0
2110.05,95.0
2111.65,95.0
2113.25,95.0
2114.85,95.0
2116.45,95.6
2118.05,95.6
2119.65,96.2
2121.25,96.2
2122.85,95.6
2124.45,96.2
2126.05,96.2
2127.65,96.2
2129.25,96.8
2130.85,97.4
2132.45,97.4
2134.05,98.0
2135.65,98.6
2137.25,98.0
2138.85,98.6
2140.45,99.2
2142.05,99.2
2143.65,100.4
2145.25,100.4
2146.85,101.0
2148.45,100.4
2150.05,101.6
2151.65,101.0
2153.25,101.6
2154.85,101.6
2156.45,102.2
2158.05,102.2
2159.65,102.8
2161.25,102.8
2162.85,102.2
2164.45,102.8
2166.05,102.2
2167.65,102.8
2169.25,102.2
2170.85,102.2
2172.45,102.8
2174.05,102.8
2175.65,103.4
2177.25,103.4
2178.85,103.4
2180.45,103.4
2182.05,103.4
2183.65,102.8
2185.25,103.4
2186.85,103.4
2188.45,103.4
2190.05,103.4
2191.65,104.0
2193.25,104.0
2194.85,104.0
2196.45,103.4
2198.05,103.4
2199.65,104.0
2201.25,104.0
2202.85,104.0
2204.45,104.0
2206.05,104.0
2207.65,103.4
2209.25,102.8
2210.85,103.4
2212.45,102.8
2214.05,102.8
2215.65,102.8
2217.25,102.8
2218.85,102.2
2220.45,101.6
2222.05,102.2
2223.65,102.2
2225.25,102.2
2226.85,102.2
2228.45,102.8
2230.05,102.2
2231.65,102.2
2233.25,101.6
2234.85,101.6
2236.45,101.6
2238.05,101.6
2239.65,101.6
2241.25,101.0
2242.85,101.0
2244.45,100.4
2246.05,101.0
2247.65,100.4
2249.25,99.8
2250.85,99.8
2252.45,99.2
2254.05,99.2
2255.65,99.2
2257.25,99.2
2258.85,98.6
2260.45,98.6
2262.05,98.6
2263.65,98.0
2265.25,98.0
2266.85,97.4
2268.45,97.4
2270.05,97.4
2271.65,97.4
2273.25,97.4
2274.85,97.4
2276.45,96.8
2278.05,97.4
2279.65,96.8
2281.25,96.8
2282.85,96.2
2284.45,96.2
2286.05,96.8
2287.65,96.2
2289.25,96.2
2290.85,96.2
2292.45,95.0
2294.05,95.6
2295.65,95.0
2297.25,95.0
2298.85,95.0
2300.45,95.0
2302.05,95.0
2303.65,95.6
2305.25,95.6
2306.85,95.6
2308.45,95.6
2310.05,96.2
2311.65,96.2
2313.25,96.2
2314.85,96.2
2316.45,96.2
2318.05,95.6
2319.65,95.6
2321.25,95.6
2322.85,96.8
2324.45,96.2
2326.05,96.2
2327.65,96.8
2329.25,96.8
2330.85,96.8
2332.45,96.8
2334.05,96.8
2335.65,98.0
2337.25,98.6
2338.85,98.6
2340.45,98.0
2342.05,98.0
2343.65,98.0
2345.25,98.0
2346.85,98.6
2348.45,99.2
2350.05,99.2
2351.65,99.2
2353.25,99.2
2354.85,99.8
2356.45,99.2
2358.05,99.8
2359.65,99.8
2361.25,100.4
2362.85,100.4
2364.45,101.0
2366.05,100.4
2367.65,100.4
2369.25,100.4
2370.85,101.0
2372.45,101.0
2374.05,102.2
2375.65,102.2
2377.25,102.2
2378.85,102.2
2380.45,102.8
2382.05,102.8
2383.65,102.8
2385.25,102.8
2386.85,103.4
2388.45,103.4
2390.05,104.0
2391.65,104.0
2393.25,103.4
2394.85,103.4
2396.45,104.0
2398.05,104.0
2399.65,104.0
2401.25,104.0
2402.85,104.0
2404.45,104.0
2406.05,104.0
2407.65,104.6
2409.25,104.0
2410.85,103.4
2412.45,104.0
2414.05,104.0
2415.65,104.0
2417.25,104.0
2418.85,104.0
2420.45,104.0
2422.05,104.0
2423.65,103.4
2425.25,104.6
2426.85,103.4
2428.45,103.4
2430.05,102.8
2431.65,102.8
2433.25,102.8
2434.85,102.8
2436.45,102.8
2438.05,102.8
2439.65,102.8
2441.25,102.2
2442.85,102.2
2444.45,101.6
2446.05,101.0
2447.65,101.0
2449.25,101.0
2450.85,101.0
2452.45,100.4
2454.05,100.4
2455.65,100.4
2457.25,101.0
2458.85,100.4
2460.45,100.4
2462.05,100.4
2463.65,100.4
2465.25,99.8
2466.85,99.2
2468.45,99.2
2470.05,99.8
2471.65,99.2
2473.25,99.8
2474.85,100.4
2476.45,99.8
2478.05,99.2
2479.65,99.8
2481.25,99.2
2482.85,99.2
2484.45,98.6
2486.05,98.6
2487.65,98.6
2489.25,98.6
2490.85,99.2
2492.45,98.0
2494.05,98.0
2495.65,98.6
2497.25,98.0
2498.85,98.6
2500.45,98.0
2502.05,98.0
2503.65,98.0
2505.25,98.0
2506.85,98.0
2508.45,98.0
2510.05,98.6
2511.65,98.0
2513.25,98.0
2514.85,99.2
2516.45,98.6
2518.05,98.6
2519.65,98.6
2521.25,98.6
2522.85,98.6
2524.45,99.2
2526.05,99.2
2527.65,98.6
2529.25,98.6
2530.85,98.6
2532.45,98.0
2534.05,98.6
2535.65,98.0
2537.25,98.6
2538.85,98.0
2540.45,98.6
2542.05,98.6
2543.65,98.6
2545.25,98.0
2546.85,98.6
2548.45,98.0
2550.05,97.4
2551.65,98.0
2553.25,98.0
2554.85,98.0
2556.45,98.6
2558.05,98.6
2559.65,98.6
2561.25,99.2
2562.85,99.2
2564.45,98.6
2566.05,98.6
2567.65,100.4
2569.25,99.8
2570.85,100.4
2572.45,100.4
2574.05,101.0
2575.65,101.0
2577.25,101.0
2578.85,101.0
2580.45,101.0
2582.05,101.0
2583.65,102.2
2585.25,102.2
2586.85,102.2
2588.45,102.2
